"","Planner Group code","Satindex"
"1214","82A",3.57142857142857
"1215","82A",4.71428571428571
"1216","82B",3.57142857142857
"1217","82A",2.71428571428571
"1218","831",4
"1219","832",4
"1220","83A",2.71428571428571
"1221","842",5
"1222","841",5
"1223","84B",3.57142857142857
"1224","84B",5
"1225","84B",3.42857142857143
"1226","84B",3.57142857142857
"1227","84A",3.57142857142857
"1228","852",4
"1229","851",4
"1230","31B",5
"1231","31B",1.71428571428571
"1232","31B",1.28571428571429
"1233","31B",4
"1234","31B",3.57142857142857
"1235","31A",1.28571428571429
"1236","31B",4
"1237","31B",1.57142857142857
"1238","31B",5
"1239","31B",5
"1240","31B",5
"1241","31B",5
"1242","43A",3.14285714285714
"1243","43A",3.14285714285714
"1244","43B",5
"1245","43B",4
"1246","43A",3.14285714285714
"1247","43B",3.14285714285714
"1248","43A",3.14285714285714
"1249","43B",5
"1250","352",3.42857142857143
"1251","352",5
"1252","352",3
"1253","352",3.57142857142857
"1254","352",4.57142857142857
"1255","352",4
"1256","352",5
"1257","352",4.42857142857143
"1258","352",5
"1259","352",2.71428571428571
"1260","352",3.85714285714286
"1261","352",5
"1262","352",4
"1263","352",2.85714285714286
"1264","352",4
"1265","85B",5
"1266","85A",5
"1267","85A",3.14285714285714
"1268","85A",1
"1269","85B",4
"1270","85B",4
"1271","86A",3.57142857142857
"1272","86A",3.14285714285714
"1273","882",4.71428571428571
"1274","882",3.57142857142857
"1275","84K",4
"1276","84K",5
"1277","84K",2
"1278","84K",4
"1279","84K",3.57142857142857
"1280","84K",4.42857142857143
"1281","86K",4.14285714285714
"1282","641",2.71428571428571
"1283","31L",4
"1284","31L",4.28571428571429
"1285","31K",3.42857142857143
"1286","31L",4.85714285714286
"1287","31L",3.57142857142857
"1288","31L",2.71428571428571
"1289","31L",3.57142857142857
"1290","31L",3.57142857142857
"1291","31L",4
"1292","31L",4
"1293","31L",2.28571428571429
"1294","31L",5
"1295","31K",4
"1296","31K",5
"1297","311",4
"1298","312",3.28571428571429
"1299","311",2.28571428571429
"1300","311",1
"1301","312",4
"1302","312",5
"1303","311",4.28571428571429
"1304","312",3.71428571428571
"1305","312",2.42857142857143
"1306","322",1
"1307","322",5
"1308","322",4.14285714285714
"1309","322",4
"1310","322",5
"1311","322",3.57142857142857
"1312","411",5
"1313","412",5
"1314","412",5
"1315","411",3.57142857142857
"1316","412",5
"1317","412",3.14285714285714
"1318","411",5
"1319","412",4
"1320","411",2.57142857142857
"1321","412",4.14285714285714
"1322","411",5
